MINUTE;5;5;10;10;15;15;20;20;25;25;30;30;35;35;40;40;45;45;45.05;45.05;45.1;45.1;50;50;55;55;60;60;65;65;70;70;75;75;80;80;85;85;90;90;90.05;90.05;90.1;90.1;total;total;METRIC
FEATURE;Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Match Totals (m);Avg. Distance/Min (m);
PLAYER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22978;73.94;30.08;71.9;20.15;40.01;11.24;51.48;14.56;63.13;32.26;53.87;12.9;72.41;26.72;69.34;32.94;54.47;24.97;0.0;0.0;0;0;69.06;21.08;73.79;27.86;70.74;26.8;86.42;43.61;33.02;12.56;73.4;21.19;90.83;78.75;26.1;13.24;74.15;28.19;113.68;51.48;0;0;;65.45;Net Distance (7.0 - 15.0  km/h) - ATT
22978;75.84;15.17;232.1;46.42;116.01;23.2;75.85;15.17;78.59;15.72;112.87;22.57;87.7;17.54;95.59;19.12;83.62;16.72;0.0;0.0;0;0;109.41;21.88;139.71;27.94;95.96;19.19;91.98;18.4;97.66;19.53;102.32;20.46;31.47;6.29;129.45;25.89;96.17;19.23;76.78;19.52;0;0;1928.69;20.17;Gross Distance (15.0 - 20.0 km/h)
22978;38.43;15.63;231.75;64.95;112.76;31.67;75.49;21.36;72.42;37.01;112.87;27.02;87.7;32.36;94.66;44.97;81.25;37.24;0.0;0.0;0;0;94.44;28.82;138.3;52.22;95.96;36.35;72.95;36.81;92.62;35.24;102.32;29.54;28.93;25.08;106.63;54.08;68.38;26.0;76.38;34.59;0;0;1784.25;35.01;Net Distance (15.0 - 20.0 km/h)
22978;0.0;0.0;97.49;27.32;25.69;7.22;16.62;4.7;45.0;23.0;8.27;1.98;6.82;2.52;31.12;14.78;27.85;12.77;0.0;0.0;0;0;15.24;4.65;38.47;14.53;15.76;5.97;10.18;5.14;47.69;18.14;12.37;3.57;0.0;0.0;6.25;3.17;33.27;12.65;3.2;1.45;0;0;;25.02;Net Distance (15.0 - 20.0 km/h) - DEF
22978;6.23;2.53;13.37;3.75;13.99;3.93;7.19;2.03;11.12;5.68;17.55;4.2;15.64;5.77;41.55;19.74;9.3;4.26;0.0;0.0;0;0;19.86;6.06;20.04;7.57;19.32;7.32;37.73;19.04;3.93;1.5;12.75;3.68;14.54;12.61;37.9;19.22;11.26;4.28;24.8;11.23;0;0;;15.85;Net Distance (15.0 - 20.0 km/h) - ATT
22978;38.79;7.76;66.5;13.3;28.46;5.69;52.94;10.59;23.98;4.8;36.33;7.27;15.88;3.18;65.29;13.06;43.39;8.68;0.0;0.0;0;0;66.09;13.22;47.17;9.43;10.06;2.01;21.84;4.37;26.52;5.3;84.03;16.81;6.2;1.24;38.15;7.63;58.5;11.7;18.97;4.82;0;0;749.08;7.83;Gross Distance (20.0 - 25.0 km/h)
22978;38.3;15.58;66.5;18.64;28.46;7.99;52.94;14.98;23.98;12.26;36.33;8.7;15.88;5.86;64.47;30.63;43.39;19.89;0.0;0.0;0;0;61.1;18.65;47.17;17.81;10.06;3.81;21.84;11.02;26.52;10.09;84.03;24.26;6.2;5.38;36.19;18.36;45.74;17.39;18.97;8.59;0;0;728.06;14.28;Net Distance (20.0 - 25.0 km/h)
22978;0.0;0.0;13.7;3.84;8.24;2.31;7.92;2.24;28.47;14.55;14.03;3.36;34.75;12.82;2.35;1.12;26.41;12.11;0.0;0.0;0;0;0.0;0.0;52.5;19.82;105.94;40.13;37.57;18.96;41.89;15.94;15.83;4.57;0.0;0.0;6.77;3.43;19.55;7.43;5.23;2.37;0;0;;18.5;Net Distance (20.0 - 25.0 km/h) - DEF
22978;10.1;4.11;30.12;8.44;7.33;2.06;15.89;4.5;17.31;8.85;8.76;2.1;7.55;2.79;15.59;7.41;23.02;10.55;0.0;0.0;0;0;22.12;6.75;20.51;7.74;14.52;5.5;7.03;3.55;6.91;2.63;11.45;3.31;10.64;9.23;10.67;5.41;4.52;1.72;2.63;1.19;0;0;;13.62;Net Distance (20.0 - 25.0 km/h) - ATT
22978;33.15;6.63;31.4;6.28;26.53;5.31;6.95;1.39;2.97;0.59;33.46;6.69;0.0;0.0;32.23;6.45;13.0;2.6;0.0;0.0;0;0;0.71;0.14;23.12;4.62;0.0;0.0;2.52;0.5;1.36;0.27;11.2;2.24;0.0;0.0;16.66;3.33;17.11;3.42;17.89;4.55;0;0;270.29;2.83;Gross Distance (> 25.0 km/h)
22978;33.15;13.48;31.4;8.8;26.53;7.45;6.95;1.97;2.97;1.52;33.46;8.01;0.0;0.0;32.23;15.31;13.0;5.96;0.0;0.0;0;0;0.71;0.22;23.12;8.73;0.0;0.0;2.52;1.27;1.36;0.52;11.2;3.23;0.0;0.0;16.09;8.16;17.11;6.51;17.89;8.1;0;0;269.72;5.29;Net Distance (> 25.0 km/h)
22978;0.0;0.0;0.79;0.22;0.0;0.0;23.47;6.64;29.53;15.09;0.0;0.0;0.0;0.0;50.24;23.87;23.26;10.66;0.0;0.0;0;0;0.0;0.0;32.28;12.19;0.0;0.0;27.73;13.99;0.0;0.0;35.58;10.27;0.0;0.0;26.45;13.42;0.0;0.0;9.75;4.42;0;0;;13.83;Net Distance (> 25.0 km/h) - DEF
22978;15.43;6.28;16.43;4.6;12.64;3.55;17.72;5.01;5.78;2.95;9.83;2.35;2.54;0.94;16.35;7.77;19.56;8.97;0.0;0.0;0;0;37.5;11.44;5.22;1.97;5.74;2.17;10.16;5.13;22.01;8.37;6.09;1.76;0.0;0.0;4.75;2.41;20.14;7.66;6.16;2.79;0;0;;13.24;Net Distance (> 25.0 km/h) - ATT
22978;3.0;1.22;7.0;1.96;6.0;1.69;4.0;1.13;4.0;2.04;9.0;2.15;5.0;1.85;6.0;2.85;4.0;1.83;0.0;0.0;0;0;7.0;2.14;4.0;1.51;5.0;1.89;5.0;2.52;4.0;1.52;5.0;1.44;2.0;1.73;6.0;3.04;6.0;2.28;6.0;2.72;0;0;98.0;1.92;Run Count (>1.0s | 15.0 - 20.0 km/h)
22978;2.0;0.81;4.0;1.12;1.0;0.28;1.0;0.28;2.0;1.02;1.0;0.24;1.0;0.37;1.0;0.48;2.0;0.92;0.0;0.0;0;0;5.0;1.53;3.0;1.13;1.0;0.38;2.0;1.01;2.0;0.76;5.0;1.44;1.0;0.87;2.0;1.01;2.0;0.76;1.0;0.45;0;0;39.0;0.77;High Intensity Run Count (>1.0s | 20.0 - 25.0 km/h)
22978;2.0;0.81;1.0;0.28;1.0;0.28;1.0;0.28;0.0;0.0;1.0;0.24;0.0;0.0;2.0;0.95;1.0;0.46;0.0;0.0;0;0;0.0;0.0;1.0;0.38;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.29;0.0;0.0;1.0;0.51;1.0;0.38;1.0;0.45;0;0;14.0;0.27;Sprint Count (>1.0s | >25.0 km/h)
32302;627.95;125.59;602.3;120.46;526.83;105.37;588.57;117.71;425.55;85.11;564.35;112.87;534.11;106.82;588.5;117.7;507.76;101.55;73.17;43.3;0;0;750.38;150.08;506.11;101.22;567.56;113.51;506.89;101.38;604.65;120.93;487.21;97.44;358.02;71.6;550.21;110.04;539.33;107.87;381.88;97.09;0;0;10291.08;107.62;Gross Distance (Total)
32302;378.55;153.99;497.83;139.51;451.95;126.95;474.43;134.21;252.46;129.03;520.57;124.64;341.81;126.13;350.9;166.7;288.89;132.42;17.97;154.03;0;0;603.72;184.25;346.18;130.72;410.33;155.43;238.43;120.32;416.15;158.33;409.53;118.25;170.81;148.1;273.13;138.53;383.49;145.81;269.7;122.13;0;0;7096.82;139.24;Net Distance (Total)
32302;130.04;52.9;172.31;48.29;132.17;37.13;148.18;41.92;164.96;84.31;120.09;28.75;119.96;44.27;259.1;123.09;139.35;63.87;0.0;0.0;0;0;168.4;51.39;143.11;54.04;208.14;78.84;139.52;70.41;165.58;63.0;112.57;32.5;156.0;135.26;140.38;71.2;193.96;73.75;156.37;70.81;0;0;;147.55;Net Distance (Total) - DEF
32302;158.34;64.41;132.13;37.03;115.83;32.54;128.53;36.36;105.24;53.79;117.57;28.15;133.37;49.21;154.36;73.33;128.58;58.94;0.0;0.0;0;0;171.14;52.23;130.51;49.28;138.88;52.61;135.47;68.36;162.1;61.67;127.35;36.77;144.51;125.3;129.96;65.91;111.35;42.34;85.49;38.71;0;0;;132.4;Net Distance (Total) - ATT
32302;147.3;29.46;203.13;40.63;209.27;41.85;193.54;38.71;166.9;33.38;207.11;41.42;207.03;41.41;162.82;32.56;211.43;42.29;59.51;35.21;0;0;249.69;49.94;187.38;37.48;155.52;31.1;212.76;42.55;159.0;31.8;204.79;40.96;165.15;33.03;198.85;39.77;198.41;39.68;164.27;41.76;0;0;3663.87;38.32;Gross Distance (0 - 7.0 km/h)
32302;59.01;24.0;130.78;36.65;143.37;40.27;137.99;39.04;62.2;31.79;163.73;39.2;118.0;43.54;56.56;26.87;83.97;38.49;4.86;41.66;0;0;160.02;48.84;89.06;33.63;73.59;27.88;88.0;44.41;66.82;25.42;140.79;40.65;35.55;30.82;71.81;36.42;89.23;33.93;81.42;36.87;0;0;1856.76;36.43;Net Distance (0 - 7.0 km/h)
32302;40.64;16.53;24.72;6.93;44.93;12.62;33.65;9.52;19.85;10.14;45.1;10.8;45.14;16.66;13.0;6.18;40.84;18.72;0.0;0.0;0;0;19.28;5.88;30.5;11.52;47.71;18.07;49.67;25.06;25.27;9.61;44.99;12.99;50.33;43.64;28.84;14.63;25.51;9.7;33.83;15.32;0;0;;34.84;Net Distance (0 - 7.0 km/h) - DEF
32302;19.38;7.88;35.69;10.0;40.49;11.37;35.38;10.01;35.75;18.27;41.41;9.91;45.24;16.69;33.42;15.88;39.07;17.91;0.0;0.0;0;0;26.01;7.94;35.39;13.36;28.17;10.67;34.8;17.56;23.73;9.03;29.22;8.44;31.38;27.21;52.4;26.58;43.73;16.63;38.48;17.42;0;0;;34.71;Net Distance (0 - 7.0 km/h) - ATT
32302;429.16;85.83;304.96;60.99;265.36;53.07;322.02;64.4;201.69;40.34;303.13;60.63;289.34;57.87;234.95;46.99;254.42;50.88;8.2;4.85;0;0;314.0;62.8;259.8;51.96;264.24;52.85;195.39;39.08;323.24;64.65;249.39;49.88;152.55;30.51;301.17;60.23;236.32;47.26;183.81;46.73;0;0;5092.87;53.26;Gross Distance (7.0 - 15.0 km/h)
